dev-foa,2019
Conv-Residual,19.9,66.9,0.54,60.3
ratio=1,21.1,64.6,0.57,57.3
ratio=2,21.1,65.7,0.55,60.4
ratio=4,19.7,66.5,0.53,61.3
ratio=8,20.0,64.6,0.54,60.1
ratio=16,20.7,64.7,0.57,58.9
dev-foa,2020
Conv-Residual,21.9,60.2,0.72,37.3
ratio=1,23.7,57.1,0.76,32.8
ratio=2,24.9,60.3,0.76,33.4
ratio=4,23.2,61.3,0.71,38.6
ratio=8,23.3,60.1,0.73,36.3
ratio=16,24.1,58.8,0.77,34.0
eval-foa,2019
Conv-Residual,18.9,68.5,0.51,62.9
ratio=1,19.8,66.7,0.54,61.5
ratio=2,20.0,68.3,0.51,64.2
ratio=4,18.5,68.6,0.48,65.6
ratio=8,18.6,68.0,0.51,63.6
ratio=16,19.7,69.5,0.51,63.4
eval-foa,2020
Conv-Residual,20.0,62.8,0.65,44.3
ratio=1,23.6,61.3,0.72,37.6
ratio=2,21.9,64.1,0.69,41.4
ratio=4,20.2,65.4,0.65,44.8
ratio=8,20.9,63.4,0.67,43.7
ratio=16,22.2,63.4,0.70,39.6
